# %ECSV 0.9
# --- 
# datatype:
# - {name: boxid, datatype: string, format: '%.2f'}
# - {name: dist_deg, unit: deg, datatype: float32, format: '%.2f'}
# - {name: dist_pc, unit: pc, datatype: float32, format: '%.2f'}
# - {name: gamma, datatype: float32, format: '%.2f'}
# - {name: gamma_stat, datatype: float32, format: '%.2f'}
# - {name: gamma_sys, datatype: float32, format: '%.2f'}
# - {name: dnde_1_5, unit: 1 / (cm2 TeV s), datatype: float32, format: '%2.4g'}
# - {name: dnde_1_5_stat_err, unit: 1 / (cm2 TeV s), datatype: float32, format: '%2.4g'}
# - {name: dnde_1_5_sys_err, unit: 1 / (cm2 TeV s), datatype: float32, format: '%2.4g'}
# - {name: sigma, datatype: float32, format: '%2.4g'}
# meta: !!omap
# schema: astropy-2.0
#boxid dist_deg dist_pc gamma gamma_stat gamma_sys dnde_1_5 dnde_1_5_stat_err dnde_1_5_sys_err sigma
1  0.74 51  2.32  0.05  0.03  4.3e-13  0.2e-13  0.2e-13  28.8 
2  0.58 41  2.21  0.04  0.03  5.9e-13  0.2e-13  0.3e-13  34.2
3  0.52 36  2.24  0.06  0.03  4.3e-13  0.2e-13  0.2e-13  24.6
4  0.58 41  2.29  0.04  0.03  6.0e-13  0.2e-13  0.2e-13  38.8
5  0.36 26  2.13  0.03  0.03  9.6e-13  0.3e-13  0.4e-13  51.4
6  0.26 18  2.09  0.04  0.02  6.9e-13  0.3e-13  0.3e-13  35.05
7  0.52 36  2.20  0.04  0.02  5.4e-13  0.2e-13  0.2e-13  33.7
8  0.26 18  2.06  0.03  0.01  10.4e-13  0.3e-13  0.3e-13  53.6 
9  0. 0  2.00  0.03  0.02  8.7e-13  0.3e-13  0.3e-13  41.6
10  0.58 41  2.29  0.07  0.05  2.9e-13  0.2e-13  0.2e-13  20.7
11  0.37 26  2.20  0.05  0.03  4.3e-13  0.2e-13  0.1e-13  26.4
12  0.26 18  2.06  0.06  0.04  4.0e-13  0.2e-13  0.2e-13  20.5
a  1.52 106  3.3  0.2  0.2  0.5e-13  0.1e-13  0.01e-13  8.8
b  1.40 98  3.2  0.2  0.8  0.6e-13  0.2e-13  0.4e-13  6.9 
c  1.33 93  3.3  0.3  0.3  0.5e-13  0.2e-13  0.3e-13  6.9 
d  1.47 103  3.1  0.3  0.4  0.5e-13  0.2e-13  0.01e-13  6.2
e  1.3 91  2.90  0.13  0.05  1.2e-13  0.2e-13  0.1e-13  12.8
f  1.16 81  2.8  0.1  0.1  1.3e-13  0.2e-13  0.2e-13  13.3 
g  1.07 75  2.7  0.1  0.1  1.3e-13  0.2e-13  0.2e-13  11.1 
h  1.04 73  2.9  0.2  0.1  0.8e-13  0.2e-13  0.1e-13  8.2
i  1.3 91  3.1  0.2  0.1  0.7e-13  0.2e-13  0.2e-13  9.4
j  1.10 77  2.61  0.09  0.07  2.1e-13  0.2e-13  0.2e-13  17.7
k  0.94 65  2.43  0.07  0.04  2.8e-13  0.2e-13  0.1e-13  20.4
l  0.82 57  2.40  0.07  0.03  3.1e-13  0.2e-13  0.2e-13  21.0
m  0.78 56  2.40  0.10  0.05  2.2e-13  0.2e-13  0.1e-13  14.5
n  0.82 57  2.45  0.15  0.3  1.3e-13  0.2e-13  0.1e-13  8.7
o  1.40 98  2.8  0.2  0.1  0.9e-13  0.2e-13  0.1e-13  9.7 
p  1.16 81  2.72  0.11  0.09  1.6e-13  0.2e-13  0.2e-13  15.1
q  0.94 65  2.33  0.07  0.02  3.0e-13  0.2e-13  0.2e-13  21.2
r  0.58 41  2.59  0.1  0.03  1.9e-13  0.2e-13  0.2e-13  13.8 
s  1.07 75  2.8  0.1  0.1  1.1e-13  0.2e-13  0.2e-13  13.7
t  0.82 57  2.3  0.07  0.02  3.2e-13  0.2e-13 0.2e-13  22.4 
u  0.78 56  2.28  0.08  0.07  2.6e-13  0.2e-13  0.3e-13  19.2
v  0.82 57  2.47  0.13  0.06  1.4e-13  0.2e-13  0.1e-13  12.4
w  0.94 65  2.45  0.16  0.1  1.3e-13  0.2e-13  0.2e-13  10.7 
x  0.74 51  2.71  0.16  0.2  1.0e-13  0.2e-13  0.2e-13  10.6 
y  0.58 41  2.5  0.2  0.1  1.2e-13  0.2e-13  0.1e-13  9.8 
z  0.52 36  2.6  0.2  0.09  1.0e-13  0.2e-13  0.1e-13  8.1
