# common_name | source_id
SHBLJ001355.9-185406 | 2
RGBJ0152+017 | 8
3C66A | 11
1ES0229+200 | 13
PKS0301-243 | 15
IC310 | 16
RBS0413 |17
1ES0347-121 | 19
1ES0414+009 | 20
PKS0447-439 | 21
VERJ0521+211 | 23
RXJ0648.7+1516 | 32
RGBJ0710+591 | 34
S50716+714 | 35
1ES0806+524 | 36
1RXSJ101015.9-311909 | 42
1ES1011+496 | 43
1ES1101-232 | 48
Mkn421 | 49
Mkn180 | 52
1ES1215+303 | 53
Wcomae | 54
1ES1218+304 | 55
PKS1222+21 | 56
3C279 | 59
1ES1312-423 | 62
PKS1424+240 | 67
H1426+428 | 69
PKS1510-089 | 78
PG1553+113 | 82
Mkn501 | 91
1ES1959+650 | 138
PKS2005-489 | 140
PKS2155-304 | 147
BLLac | 148
B32247+381 | 152
1ES2344+514 | 154
H2356-309 | 155
