id , TEV NAME , OTHER NAMES , TYPE , RA (J2000) , Dec (J2000) , LII(degrees) , BII(degrees) , ErrRaStat[s] , ErrRaSys[s] , ErrDecStat[arcsec] , ErrDecSys[arcsec] , EXTENDED , SEMIMAJOR[deg] , ERRMAJOR[deg] , SEMIMINOR[deg] , ERRMINOR[deg] , ROTATION ANGLE[deg] , DIFF. FLUX NORMALIZATION[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSTAT[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSYS[x TeV^-1 cm^-2 s^-1] , SPECTRAL SLOPE , ERRSLOPESTAT , ERRSLOPESYS , INTEGRAL FLUX , ErrFluxStat[x 10^-12 cm^-2 s^-1] , ErrFluxSys[x 10^-12 cm^-2 s^-1] , OTHER SPECTRAL COMPONENTS , Flux in CU[%] , THR ENERGY [GeV] , MIN ZENITH[deg] , MAX ZENITH[deg] , MEAN ZENITH[deg] , DISTANCE[kPc] , Distance , Discoverer , Observatory , START TIME[MJD] , END OBSERVATION[MJD] , EXPOSURE TIME[ksec] , POS. ERROR CIRCLE[deg] , Diff. Flux. Norm. Energy[TeV] , REFERENCE , COMMENTS
1 , "TeV J0006+7259" , "CTA 1/ G 119.5+10.2" , "PWN/SNR" , "00 06 26" , "+72 59 01" , "119.6" , "10.4" , "22" , "3" , "144" , "50" , "YES" , "0.30" , "0.03" , "0.24" , "0.03" , "17" , "9.1e-14" , "1.3e-14" , "1.7e-14" , "2.2" , "0.2" , "0.3" , "-" , "-" , "-" , "NO" , "-" , "-" , "40" , "47" , "42.5" , "1.4" , "-" , "VERITAS" , "VERITAS" , "55440" , "55926" , "148.5" , "0.091" , "3" , "Aliu et al. (2013), ApJ 764, 38" , "Orientation angle of 17.4 +/- 15.8 deg, west of north. An integral energy flux above 1 TeV of 4.0x10^-12 erg/cm^2/s is reported in the paper."
2 , "TeV J0013-1853" , "SHBL J001355.9-185406" , "HBL" , "00 13 52.0" , "-18 53 29" , "74.61" , "-78.07" , "1.5" , "1.3" , "22" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.2e-12" , "2.3e-13" , "2.3e-13" , "3.4" , "0.5" , "0.2" , "0.83" , "0.17" , "0.17" , "-" , "0.6" , "310" , "-" , "-" , "12.9" , "-" , "0.095" , "HESS" , "HESS" , "54653" , "55912" , "149.4" , "0.0083" , "0.51" , "Abramowski et al. (2013), A&A 554, A72" , "-"
3 , "TeV J0025+6410" , "Tycho SNR" , "SNR" , "00 25 27.0" , "+64 10 50" , "120.1" , "1.45" , "5.5" , "3.4" , "83" , "50" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.6e-14" , "4.3e-15" , "4.7e-15" , "1.95" , "0.51" , "0.3" , "0.187" , "0.051" , "-" , "NO" , "0.9" , "1000" , "-" , "-" , "37" , "3.5" , "-" , "VERITAS" , "VERITAS" , "54740" , "55227" , "239.8" , "0.027" , "3.42" , "Acciari et al. (2011), ApJL 730, L20" , "-"
4 , "TeV J0033-1921" , "KUV 00311-1938/RBS 0076/1RXS J003334.6-192130" , "HBL" , "00 33 34.2" , "-19 21 33.3" , "94.17" , "-81.22" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "NO" , "1" , "-" , "-" , "-" , "-" , "-" , "0.61" , "HESS" , "HESS" , "-" , "-" , "-" , "-" , "-" , "Becherini et al. (2012), AIP Conf. Proc. 1505, 490" , "Position taken from NED (2007A&A 470 787P). Source discovery announced at Gamma 2012 (Becherini et al. (2012), AIP Conf. Proc. 1505, 490). Redshift from Pita et al.(2012), not confirmed."
5 , "TeV J0035+5947" , "1ES 0033+595" , "HBL" , "00 35 16.8" , "+59 47 24.0" , "120.89" , "-3.02" , "7.2" , "-" , "72" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "2e-11" , "5e-12" , "5e-12" , "3.8" , "0.7" , "0.3" , "7.1" , "1.3" , "1.6" , "NO" , "2.2" , "150" , "31" , "35" , "-" , "-" , "-" , "MAGIC" , "MAGIC" , "55060" , "55118" , "70.92" , "0.030" , "0.25" , "Aleksic et al. (2015), MNRAS 446, 217" , "-"
6 , "TeV J0047-2517" , "NGC 253" , "Starburst" , "00 47 34.3" , "-25 17 22.6" , "97.48" , "-87.97" , "1.4" , "1.3" , "18" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "9.6e-14" , "1.5e-14" , "5.7e-14" , "2.14" , "0.18" , "0.3" , "0.56" , "0.12" , "-" , "NO" , "0.21" , "190" , "1" , "42" , "12" , "3500" , "0.000811" , "HESS" , "HESS" , "53371" , "55196" , "637.2" , "0.0080" , "1" , "Abramowski et al. (2012), ApJ 757, 158" , "-"
7 , "TeV J0136+3905" , "RGB J0136+391/B3 0133+388/1RXS J013632.9+390556" , "HBL" , "01 36 32.5" , "+39 05 59.6" , "132.41" , "-22.94" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "MAGIC" , "MAGIC" , "-" , "-" , "-" , "-" , "-" , "Mazin et al., AIP Conf. Proc. 1505, 186" , "Source discovery announced at Gamma 2012. Position quoted from NED (2007A&A 470 787P). No information on the positional uncertainty available. A limit of z> 0.4 is provided in Nilsson et al. (2012)."
8 , "TeV J0152+0146" , "RGB J0152+017/RXJ0152.6+0147" , "HBL" , "01 52 33.5" , "+01 46 40.3" , "152.34" , "-57.56" , "5.3" , "1.3" , "107" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "5.7e-13" , "1.6e-13" , "1.1e-13" , "2.95" , "0.36" , "0.2" , "2.7" , "0.51" , "0.54" , "NO" , "2" , "300" , "-" , "-" , "26.9" , "330000" , "0.08" , "HESS" , "HESS" , "54404" , "54418" , "52.92" , "0.030" , "1" , "Aharonian et al. (2008), A&A 481, L103" , "-"
9 , "TeV J0205+6451" , "3C 58" , "PWN" , "02 05 31" , "+64 51 00" , "130.7" , "3.1" , "9" , "11" , "60" , "60" , "NO" , "-" , "-" , "-" , "-" , "-" , "2e-13" , "4e-14" , "6e-14" , "2.4" , "0.2" , "0.2" , "0.14" , "-" , "-" , "NO" , "0.65" , "1000" , "36" , "52" , "-" , "2" , "-" , "MAGIC" , "MAGIC" , "56508" , "56662" , "292" , "0.059" , "1" , "Aleksic et al. (2014), A&A 567, L8" , "Spectral properties valid between 400 GeV and 10 TeV."
10 , "TeV J0221+3556" , "S3 0218+35/ B2 0218+35" , "Blazar" , "02 21 05.5" , "+35 56 13.7" , "142.6" , "-23.49" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "15" , "100" , "-" , "-" , "-" , "-" , "0.944" , "MAGIC" , "MAGIC" , "56861" , "56864" , "13" , "-" , "-" , "Mirzoyan et al. (2014), ATel. #6349" , "Source announced by Mirzoyan et al. (2014), ATel. #6349."
